Title,Description,Priority,Labels,Domain,Effort,Impact
[DEVOPS] Document all 27+ undocumented environment variables,"27 env vars in production have no documentation in .env.example. New deployments fail mysteriously. Document all vars with type, description, and example values.",Medium,devops;documentation;health-scan-2026-03-24,DevOps,S,Medium
[SECURITY] Upgrade 3 dependencies with known CVEs,"Run `pip audit` — found packages with known CVEs: fix before next production deploy. Exact list in 06-security-audit.md.",Urgent,security;dependencies;health-scan-2026-03-24,Security,S,High
[SECURITY] Add CSRF protection to state-changing API endpoints,"State-changing endpoints (POST/PUT/DELETE) lack CSRF tokens. FastAPI CORS is configured but client-side CSRF protection is missing. Add double-submit cookie pattern.",High,security;csrf;health-scan-2026-03-24,Security,M,High
[SECURITY] Replace demo_auth.py default JWT secret in non-dev environments,"JWT_SECRET defaults to empty string with only a warning in development. If a dev ever deploys with the default, tokens are forgeable. Fail hard if JWT_SECRET not set in non-local environments.",High,security;auth;health-scan-2026-03-24,Security,S,High
[SECURITY] Add rate limiting to auth endpoints (login, token refresh),"Login and token refresh endpoints have no rate limiting. Vulnerable to credential stuffing. Add slowapi or similar: 5 req/min per IP on /api/auth/*.",High,security;auth;health-scan-2026-03-24,Security,M,High
[SECURITY] Validate webhook payloads for Xero and AP2 integrations,"Cin7 webhooks use HMAC-SHA256 ✅. Xero and AP2 webhook handlers accept any payload without signature verification. Add HMAC validation matching Cin7 pattern.",High,security;webhooks;health-scan-2026-03-24,Security,S,High
[PERFORMANCE] Fix N+1 query pattern in /api/orders endpoint,"Orders list endpoint fetches orders then N individual customer queries. Replace with SQLAlchemy `selectinload(Order.customer)` eager loading. Affects 3 endpoints: orders, quotes, invoices.",Urgent,performance;database;health-scan-2026-03-24,Performance,S,High
[PERFORMANCE] Add pagination to 8 list endpoints currently returning all records,"8 endpoints return all records with no pagination: /api/customers, /api/products, /api/inventory, /api/activities, /api/workshop/equipment, /api/alerts, /api/notifications, /api/agents. Add page/page_size params with max 100.",High,performance;api;health-scan-2026-03-24,Performance,M,High
[PERFORMANCE] Add composite index on orders(customer_id, status, created_at),"Most dashboard queries filter orders by customer + status. Missing composite index causes full table scans. Add: ix_orders_customer_status_created to Alembic migration.",High,performance;database;health-scan-2026-03-24,Performance,S,High
[PERFORMANCE] Enable Redis caching for product catalog and price lists,"Product catalog is fetched on every page load with no caching. Redis is in docker-compose but unused on catalog endpoints. Cache catalog with 5-minute TTL, invalidate on product update.",Medium,performance;caching;health-scan-2026-03-24,Performance,M,Medium
[PERFORMANCE] Add bundle analysis to CI to catch size regressions,"Next.js bundle is not measured in CI. No threshold prevents large bundle additions. Add @next/bundle-analyzer to ci.yml with size threshold alert at 500KB per route.",Medium,performance;frontend;health-scan-2026-03-24,Performance,S,Low
[TESTING] Add backend pytest tests for new inventory endpoints (UNI-172 SUB-8),"New inventory endpoints (barcode, stock take, reorder, variants) have no backend tests. Add pytest tests covering happy path + validation errors for each endpoint.",High,testing;inventory;health-scan-2026-03-24,Testing,M,High
[TESTING] Add E2E Playwright specs for warehouse and workshop flows,"Warehouse page and workshop booking flow have no E2E coverage. Add playwright specs for: create booking, update equipment, view schedule.",High,testing;e2e;health-scan-2026-03-24,Testing,M,Medium
[TESTING] Add unit tests for 10 highest-priority frontend pages,"Frontend has 5 test files for 76 pages (6.5% coverage). Priority: billing, workshop, warehouse, contractors, approvals, alerts, CRM health, onboarding, personas, mobile order.",High,testing;frontend;health-scan-2026-03-24,Testing,L,Medium
[TESTING] Add contract tests for Cin7 API integration,"No contract tests exist for Cin7 integration. When Cin7 changes their API, we find out in production. Add Pact consumer contract tests for top 10 Cin7 endpoints.",Medium,testing;integrations;health-scan-2026-03-24,Testing,L,Medium
[TESTING] Fix 17 pre-existing test failures (walk-in, service, portal),"17 tests failing due to missing portal component imports (removed in SaaS cleanup). Either restore test stubs or delete orphaned test files. Blocking accurate coverage metrics.",Medium,testing;cleanup;health-scan-2026-03-24,Testing,S,Medium
[DATABASE] Standardise SQLAlchemy model style (1043 Column() → Mapped[]),"42 model files use mixed Column() legacy style and Mapped[] new style (SQLAlchemy 2.0). Standardise to Mapped[] for type safety and consistency. Prioritise new files first.",Low,database;refactor;health-scan-2026-03-24,Database,L,Low
[FRONTEND] Enable TypeScript strict mode in tsconfig.json (UNI-1255),"TypeScript strict mode is disabled. Enabling it (noImplicitAny, strictNullChecks) would catch 50-100 additional type errors. Requires fixing errors incrementally.",Low,frontend;types;health-scan-2026-03-24,Frontend,L,Medium
[SECURITY] CRITICAL — X-User-Id header accepted as auth without JWT validation,"Security audit found auth.py lines 96–100 accept X-User-Id header as identity without any JWT verification. Any HTTP client that knows a user's UUID can send X-User-Id: <uuid> and bypass all authentication checks. This is a complete authentication bypass. Fix immediately: remove the X-User-Id header auth path entirely or enforce JWT presence when this header is used.",Urgent,security;auth;critical;health-scan-2026-03-24,Security,S,Critical
[DEVOPS] Remove continue-on-error from backend test step in ci.yml,"ci.yml has continue-on-error: true on both the alembic migration step AND the pytest step. Broken backend code produces a green CI badge and merges to main undetected. Remove continue-on-error from both steps. Also raise coverage threshold from 15% to at least 50%.",Urgent,devops;ci;testing;health-scan-2026-03-24,DevOps,S,Critical
[PERFORMANCE] Re-enable 9 dashboard cache decorators (Pydantic serialisation fix),"All 9 Redis cache decorators in demo_dashboard.py are commented out due to a Pydantic v2 serialisation issue. The highest-traffic page hits raw DB aggregations on every load. Fix the serialisation issue (use model_dump() instead of dict()) and re-enable caching.",Urgent,performance;caching;database;health-scan-2026-03-24,Performance,S,Critical
[TESTING] Track 7 untracked test files in git (they never run in CI),"7 test files are untracked (git status shows them as ??): test_billing.py, test_gap_batch_2b.py, test_approvals_batch_2c.py, test_batch_2c_structure.py, test_workflows_batch_2c.py, test_gap_batch_2b_smoke.py. Run git add on these files so they execute in CI.",Urgent,testing;ci;health-scan-2026-03-24,Testing,XS,Critical
[SECURITY] Swagger UI /docs and /openapi.json publicly accessible in production,"FastAPI auto-generates API documentation at /docs and /openapi.json with no authentication gate. This exposes all endpoint details, request schemas, and auth patterns to anyone. Disable in production: app = FastAPI(docs_url=None if not DEBUG else '/docs').",High,security;api;health-scan-2026-03-24,Security,S,High
[SECURITY] Prometheus /metrics endpoint is unauthenticated,"GET /metrics exposes revenue figures, order counts, and AI performance metrics publicly with no auth. Add IP allowlist or bearer token to prometheus.yml and the metrics endpoint.",High,security;monitoring;health-scan-2026-03-24,Security,S,High
[DEVOPS] Add missing node-exporter service to docker-compose.yml,"prometheus.yml declares a node-exporter scrape target but the service is missing from docker-compose.yml. All CPU/memory alert rules never fire. Add the prom/node-exporter image to docker-compose.yml.",Medium,devops;monitoring;health-scan-2026-03-24,DevOps,XS,Medium
