name,sku,category,price_aud,cost_aud,description,stock
Prochem Steempro Powermax S2300 Steam Extractor,CCW-EXT-007,power_tools,6800.00,3400.00,"Dual-purpose steam and hot water extraction machine with electric boiler reaching 150°C. Eliminates need for chemicals on heavily soiled commercial carpets.",4
Dri-Eaz LGR 7000XLi Commercial Dehumidifier,CCW-WDE-001,power_tools,4200.00,2100.00,"Low-grain refrigerant commercial dehumidifier removing up to 80L per day in standard conditions. Designed for water damage restoration and structural drying.",6
Dri-Eaz DefendAir HEPA 500 Air Scrubber,CCW-WDE-002,power_tools,2800.00,1400.00,"Commercial HEPA 500 CFM air scrubber with 3-stage filtration for mould remediation and fire damage restoration. Four-speed control with negative air capability.",8
Dri-Eaz Velo Pro Low-Profile Air Mover,CCW-WDE-003,power_tools,450.00,225.00,"Low-profile axial air mover with 1450 CFM airflow and stackable design. Essential for accelerating structural drying after water damage events.",20
Dri-Eaz Pulse-Bac Centrifugal Air Mover,CCW-WDE-004,power_tools,380.00,190.00,"Compact centrifugal air mover with variable speed and daisy-chain 10-amp power. Ideal for drying under furniture and in confined spaces.",25
Injectidry HP60 Sub-Floor Drying System,CCW-WDE-005,power_tools,3600.00,1800.00,"Sub-floor drying system with 20-port HP60 panel and variable pressure pump. Dries hardwood floors and subfloors without demolition.",4
Tramex CME5 Moisture Encounter Plus,CCW-WDE-006,power_tools,680.00,340.00,"Non-invasive digital moisture meter for carpet, wood, concrete, and drywall. Dual-scale readout for rapid survey of wet areas without surface damage.",12
Protimeter Surveymaster SM Moisture Meter,CCW-WDE-007,power_tools,420.00,210.00,"Dual-mode moisture meter combining pin and non-invasive modes. AUST/NZ standard compliant for insurance and restoration documentation.",15
Karcher HD 5/15 C Cold Water Pressure Washer,CCW-PWR-001,power_tools,1450.00,725.00,"Electric 150-bar cold water pressure washer with 500L/hour flow rate. Suitable for commercial vehicle cleaning, patio washing, and light industrial use.",12
Karcher HDS 5/15 UX Eco Hot Water Pressure Washer,CCW-PWR-002,power_tools,4800.00,2400.00,"110-bar hot water pressure washer with eco mode reducing fuel consumption by 20%. Ideal for degreasing commercial kitchens and heavy plant equipment.",6
Nilfisk MC 5M-200/1000 FAX Stationary Hot Pressure Washer,CCW-PWR-003,power_tools,8200.00,4100.00,"Stationary hot water pressure washer with 200-bar and 1000L/hour output. Wall-mounted industrial unit for permanent installation in vehicle wash bays.",3
Makita DWD182Z 18V Wet/Dry Vacuum,CCW-VAC-001,power_tools,320.00,160.00,"18V LXT cordless wet/dry vacuum with 10-litre drum capacity. Ideal for onsite cleanup and tool-side dust extraction without power cord constraints.",18
Festool CT 26 E HEPA Dust Extractor,CCW-VAC-002,power_tools,1280.00,640.00,"26-litre HEPA-filtered dust extractor with automatic filter cleaning and Bluetooth connectivity for paired tool activation. Used in asbestos and lead paint environments.",7
Nilfisk VHS255 H-Class HEPA Hazardous Vacuum,CCW-VAC-003,power_tools,2100.00,1050.00,"H-Class HEPA vacuum for hazardous dust including asbestos, silica, and mould. Certified to EN 60335-2-69 for professional hazmat remediation work.",5
Prochem Fastdry Dual 5-Stage Vacuum,CCW-VAC-004,power_tools,1850.00,925.00,"Dual-motor 5-stage vacuum with 36-litre stainless drum and high-performance wet/dry capability. For carpet wand use and large-area water extraction.",8
Coverall 3M 4565 Disposable Coverall Type 5/6 (Box 25),CCW-PPE-001,safety_equipment,185.00,92.50,"Box of 25 Type 5/6 disposable coverall suits with hood and elastic cuffs. Essential for mould remediation, asbestos removal, and chemical handling jobs.",20
3M 6500 Series Half-Face Respirator Medium,CCW-PPE-002,safety_equipment,68.00,34.00,"Reusable half-face respirator with bayonet connection for 6000 series cartridges. Cool flow valve design reduces heat and moisture build-up during extended wear.",30
3M 6001 Organic Vapour Cartridge Pair,CCW-PPE-003,safety_equipment,22.00,11.00,"Replacement organic vapour cartridge pair for 3M 6000 and 7000 series respirators. Rated for solvents, formaldehyde, and low-concentration chemical environments.",50
Moldex 2200 N95 Disposable Respirator P2 (Box 20),CCW-PPE-004,safety_equipment,42.00,21.00,"Box of 20 P2-rated disposable respirators with nose clip and foam nose cushion. Meets AS/NZS 1716 for protection against non-oily aerosols and mould spores.",35
Ansell AlphaTec 58-735 Chemical Gauntlet Gloves L,CCW-PPE-005,safety_equipment,18.50,9.25,"Neoprene/latex blend chemical-resistant gloves rated for acids, caustics, and cleaning agents. 38cm gauntlet length for full forearm protection.",40
Portwest A140 Heavy Duty Latex Cleaning Gloves XL,CCW-PPE-006,safety_equipment,12.00,6.00,"Heavy-duty 40cm latex cleaning gloves with textured grip and cotton flock lining. Resists puncture from sharp debris during flood restoration work.",60
3M SecureFit SF400 Anti-Fog Safety Glasses Clear,CCW-PPE-007,safety_equipment,14.50,7.25,"Anti-scratch anti-fog safety glasses with SecureFit pressure temple design. Rated AS/NZS 1337 for impact protection during chemical spraying and pressure washing.",45
Blaklader 2685 Waterproof Bib-and-Brace Overalls,CCW-PPE-008,safety_equipment,165.00,82.50,"Waterproof bib-and-brace overalls with reinforced knee panels and multiple pockets. Ideal for water damage restoration, flood cleanup, and wet environment work.",14
Prochem PVC Chemical-Resistant Safety Boot Size 10,CCW-PPE-009,safety_equipment,89.00,44.50,"Chemical-resistant PVC safety boots rated to AS 2210.3 with steel toe cap and oil-resistant sole. Available in sizes 6 through 13.",22
Ergodyne Type 1 Class E Industrial Hard Hat White,CCW-PPE-010,safety_equipment,52.00,26.00,"Type 1 Class E industrial hard hat with 6-point suspension and sweatband. Meets AS/NZS 1801 for use on construction and restoration worksites.",25
UV-A Black Light Inspection Torch 365nm,CCW-ELC-001,electrical,95.00,47.50,"Professional 365nm UV-A LED torch for urine and biological stain detection. 100m beam range with aluminium anodised body for field durability.",22
Dual UV LED 365nm Rechargeable Inspection Light,CCW-ELC-002,electrical,145.00,72.50,"Rechargeable 365nm UV inspection light with 50W COB LED and 180-degree adjustable head. Identifies pet stains, mould, and chemical contamination on carpet and hard floors.",14
Lexa Tools 25m Weatherproof Extension Lead 15A,CCW-ELC-003,electrical,145.00,72.50,"25-metre 15-amp heavy-duty extension lead rated to IP44 weatherproof with integrated RCD protection. Essential for remote job sites and outdoor cleaning operations.",18
Brennenstuhl 50m Extension Lead Reel 10A,CCW-ELC-004,electrical,185.00,92.50,"50-metre retractable cable reel with 4-outlet powerboard and overload protection switch. Ideal for truckmount and portable extractor operations at distance.",12
Ridgid SeeSnake Micro Drain Inspection Camera,CCW-ELC-005,electrical,980.00,490.00,"Flexible-shaft drain inspection camera with 23mm head and 1-metre reach. Used to locate blockages and assess drainage conditions before flood restoration.",6
Truma VarioHeat 240V Inline Water Heater,CCW-PLB-001,plumbing,1250.00,625.00,"240V in-line electric water heater for portable extractors requiring heated rinse water. 2400W element with 6-litre stainless vessel and 1/2 inch BSP fittings.",10
HMA 1.5 inch x 50m Wire-Reinforced Solution Hose,CCW-PLB-002,plumbing,280.00,140.00,"50-metre 1.5-inch wire-reinforced solution hose rated to 300 PSI. Compatible with all major truckmount and portable extractor quick-connect fittings.",15
HMA 2 inch x 50m Vacuum Hose,CCW-PLB-003,plumbing,320.00,160.00,"50-metre 2-inch lay-flat vacuum hose with crush-resistant wire helix. Standard issue hose for truckmount vacuum inlets in residential and commercial applications.",12
Mytee 1/4 inch x 50m High-Pressure Jet Hose,CCW-PLB-004,plumbing,145.00,72.50,"50-metre 1/4-inch braided pressure hose rated to 3000 PSI for portable extractor and pressure washer use. Includes male-male quick-connect fittings.",20
Waterfed Pole Inline Pressure Regulator 1/4 inch BSP,CCW-PLB-005,plumbing,48.00,24.00,"Adjustable 0-130 PSI inline pressure regulator with gauge for controlling water feed to extraction wands. Prevents over-pressure damage to carpet fibres.",25
Layflat 50m Supply Hose 3/4 inch Garden Threaded,CCW-PLB-006,plumbing,85.00,42.50,"50-metre 3/4-inch reinforced layflat water supply hose with GHT threaded connectors. Used for fresh water fill on truckmount or portable extractor tanks.",16
Prochem Brass Quick-Connect Fitting Set 3-piece,CCW-PLB-007,plumbing,38.00,19.00,"3-piece brass quick-connect fitting set including 1/4 inch male, female, and inline shut-off. Compatible with Prochem, Sapphire, and US Products solution line systems.",30
Steamway Stainless 2-Jet Carpet Cleaning Wand 1.2m,CCW-WND-001,accessories,185.00,92.50,"Stainless steel 1.2-metre single-bend carpet cleaning wand with dual 1100 spray jets. Rated to 500 PSI and 150 degrees Celsius for aggressive soil extraction.",14
Prochem Glide-Pro 1.4m Carpet Wand,CCW-WND-002,accessories,240.00,120.00,"Professional 1.4-metre carpet cleaning wand with patented glide pad base for reduced operator fatigue. 500 PSI rated with 110-degree 1104 spray tips included.",10
Steamway Stainless 280mm Hard Floor Cleaning Tool,CCW-WND-003,accessories,320.00,160.00,"280mm hard floor cleaning tool with enclosed spray jets and front squeegee blade. Designed for tile, grout, and stone cleaning using truckmount or hot portable systems.",8
Prochem 4 inch Upholstery Cleaning Hand Tool,CCW-WND-004,accessories,75.00,37.50,"4-inch stainless upholstery cleaning hand tool with single spray jet and bristle brush insert. Compatible with all standard solution line hose sizes.",20
Professional 16 inch Rotary Jet Floor Spinner Tool,CCW-WND-005,accessories,580.00,290.00,"16-inch rotary spinner floor cleaning tool with 4-jet spray bar and ball bearing housing. Provides consistent low-pressure spray pattern for hard floors and grout lines.",6
Dry Foam Carpet Bonnet 17 inch (5-pack),CCW-BON-001,accessories,55.00,27.50,"Pack of 5 x 17-inch dry foam carpet bonnets for use with rotary floor machines. Effective interim cleaning method for commercial Berber and low-pile carpet.",22
Microfibre Carpet Bonnet 17 inch (5-pack),CCW-BON-002,accessories,65.00,32.50,"Pack of 5 x 17-inch microfibre pile bonnets for low-moisture carpet maintenance cleaning. Traps and lifts soil effectively with minimal residue.",20
20 inch Microfibre Floor Scrubbing Pad (5-pack),CCW-FPD-001,accessories,72.00,36.00,"Pack of 5 x 20-inch microfibre floor scrubbing pads for auto-scrubbers and rotary machines. Colour-coded blue for general scrubbing on sealed hard floors.",18
20 inch Red Spray Buff Polishing Pad (5-pack),CCW-FPD-002,accessories,65.00,32.50,"Pack of 5 x 20-inch red polishing pads for spray buffing finished floors. Operating speed range of 180 to 400 RPM for marble, terrazzo, and vinyl composite tile.",15
20 inch Black Floor Stripping Pad (5-pack),CCW-FPD-003,accessories,65.00,32.50,"Pack of 5 x 20-inch black floor stripping pads for aggressive removal of old wax and finish. For use with alkaline strippers on vinyl, linoleum, and hardwood floors.",14
Prochem Carpet Extraction Shampoo 5L,CCW-CHM-001,accessories,68.00,34.00,"Low-foaming hot water extraction carpet shampoo with anti-resoiling agents and neutral pH. Suitable for all synthetic and natural fibre carpets.",30
Prochem Power Sprinkle Pre-Spray 5L,CCW-CHM-002,accessories,72.00,36.00,"Heavy-duty enzyme pre-spray for breaking down protein-based soils, greasy traffic lanes, and pet contamination before hot water extraction.",28
Chemspec Super Encap Encapsulation Cleaner 5L,CCW-CHM-003,accessories,88.00,44.00,"Polymer-based encapsulation carpet cleaner forming brittle crystals around soil for vacuum removal. Ideal for low-moisture interim maintenance cleaning of commercial carpet.",20
Prochem Solvex Dry Solvent Spotter 500ml,CCW-CHM-004,accessories,38.00,19.00,"Dry solvent spotter for oil-based stains including grease, tar, and correction fluid. Safe on most synthetic carpets and upholstery fabrics.",35
Chemspec Urine Stain and Odour Eliminator 5L,CCW-CHM-005,accessories,82.00,41.00,"Enzyme-based urine stain and odour eliminator with biological catalyst for complete odour neutralisation. For use pre- and post-extraction on carpet and upholstery.",25
Prochem Fibre and Fabric Protector 5L,CCW-CHM-006,accessories,95.00,47.50,"Fluorocarbon fibre protector forming a durable invisible shield against oil and water-based staining. Compatible with all carpet types and upholstery fabrics.",18
Chemspec Marble and Tile Cleaner 5L,CCW-CHM-007,accessories,58.00,29.00,"pH-neutral stone and tile cleaner safe for marble, travertine, limestone, and polished concrete. Removes soap scum and light soil without etching sensitive surfaces.",22
HydroForce AS8 Inline Chemical Sprayer,CCW-CHM-008,accessories,65.00,32.50,"Adjustable dilution inline chemical sprayer for premixing cleaning agents into solution line flow. Dilution ratios of 1:5 to 1:130 with stainless metering valve.",28
Dri-Eaz DriTac Pressure-Sensitive Carpet Adhesive (Tube),CCW-CHM-009,accessories,24.00,12.00,"Pressure-sensitive carpet adhesive for re-laying seams and edges lifted during water damage events. Compatible with commercial carpet and residential carpet tiles.",32
Prochem Professional Silicone Defoamer 1L,CCW-CHM-010,accessories,22.00,11.00,"Concentrated silicone defoamer for dosing into truckmount or portable extractor recovery tanks. Prevents foam overflow and vacuum motor damage during extraction.",40
Tank Rinse and Scale Inhibitor Concentrate 1L,CCW-CHM-011,accessories,28.00,14.00,"Descaler and scale inhibitor concentrate for truckmount and portable extractor solution tanks and heat exchangers. Prevents calcium build-up in hard water areas.",35
Squeegee Floor Tool 600mm Rubber Blade,CCW-HND-001,hand_tools,38.00,19.00,"600mm professional rubber squeegee with heavy-duty aluminium handle channel. For directing water runoff during flood extraction and hard floor washing.",30
450mm Window Squeegee Ettore Complete Handle,CCW-HND-002,hand_tools,32.00,16.00,"Ettore 450mm professional window squeegee with swivel handle and brass channel. For glass and smooth surface water removal in post-flood window cleaning.",25
Industrial Deck Scrub Brush 300mm,CCW-HND-003,hand_tools,28.00,14.00,"300mm stiff PVC-bristle deck scrub brush with socket fitting for standard 22mm threaded pole. For pre-agitation of heavily soiled hard floors and grout lines.",35
Prochem Carpet Rake 15 inch Fibreglass Handle,CCW-HND-004,hand_tools,65.00,32.50,"15-inch carpet grooming rake with fine-tine head for post-extraction pile lifting. Fibreglass handle reduces operator fatigue on large area carpet jobs.",18
Prochem Upholstery Brush Set 3-piece,CCW-HND-005,hand_tools,45.00,22.50,"3-piece upholstery and fabric brush set with horsehair and synthetic fibre options. Used for pre-agitation of upholstery fabric before extraction cleaning.",20
Tile and Grout Line Brush Pack 10,CCW-HND-006,hand_tools,35.00,17.50,"Pack of 10 stiff-bristle grout line brushes for hand scrubbing tile joints before machine extraction. Long-handle version for vertical tile surfaces.",28
HMA Stainless Carpet Scraper 4 inch Wide,CCW-HND-007,hand_tools,18.00,9.00,"4-inch stainless steel carpet scraper for removing dried adhesive, gum, and hard soiling from carpet backing and hard floor transitions.",40
Professional Spotting Brush 150mm Fibreglass,CCW-HND-008,hand_tools,12.50,6.25,"Professional handheld 150mm fibreglass-backed cleaning brush for working spotting solutions into localised carpet stains prior to extraction.",50
