Title,Description,Priority,Labels,Status,Estimate,Blocked By
"[GAP-024] GET /api/workflows/execution-stats","Workflow execution statistics for dashboard -",0,"gap-remediation",Backlog,2,""
"[GAP-025] POST /api/invoices/tax/calculate","Calculate tax for invoice line items (GST, state taxes) -",0,"gap-remediation",Backlog,2,""
"[GAP-026] GET /api/reconciliation/match-suggestions","AI-suggested invoice-payment matches for reconciliation -",0,"gap-remediation",Backlog,2,""
"[GAP-027] POST /api/reconciliation/auto-match","Auto-match high-confidence invoice-payment pairs -",0,"gap-remediation,phase-1-types,domain-type-contract",Backlog,2,""
"[GAP-028] Three-Way PO Matching Service","Service for matching Purchase Order + GRN + Invoice -",0,"gap-remediation",Backlog,2,"** GAP-016 (API endpoint)"
"[GAP-029] Order State Machine Service","Enforce order status transitions and business rules -",0,"gap-remediation",Backlog,2,"** Order CRUD operations"
"[GAP-030] Tax Calculation Engine","Calculate GST and state-specific taxes for Australian invoices -",0,"gap-remediation",Backlog,2,"** GAP-025 (invoice tax endpoint)"
"[GAP-031] Dunning Letter Automation Service","Automated dunning letter workflow for overdue invoices -",0,"gap-remediation",Backlog,2,"** GAP-012 (dunning endpoint)"
"[GAP-032] Auto-Reorder Service","Automatically create purchase orders when stock falls below reorder point -",0,"gap-remediation",Backlog,2,"** GAP-015 (auto-reorder endpoint)"
"[GAP-033] SLA Escalation Logic Service","SLA breach detection and escalation workflow -",0,"gap-remediation,phase-2-api,domain-backend",Backlog,2,"** GAP-021 (SLA escalation endpoint)"
"[GAP-089] Inventory Page Tests","Vitest unit tests for `inventory/page.tsx` -",0,"gap-remediation",Backlog,2,""
"[GAP-090] Billing Page Tests","Vitest unit tests for `settings/billing/page.tsx` -",0,"gap-remediation",Backlog,2,""
"[GAP-091] Workshop Pages Tests","Vitest tests for 4 workshop pages -",0,"gap-remediation",Backlog,2,""
"[GAP-092] Warehouse Page Tests","Vitest tests for `warehouse/page.tsx` -",0,"gap-remediation",Backlog,2,""
"[GAP-093] Procurement & Approvals Tests","Vitest tests for procurement + approvals -",0,"gap-remediation",Backlog,2,""
"[GAP-140] Billing Routes Tests","Pytest tests for `billing.py` routes -",0,"gap-remediation",Backlog,2,""
"[GAP-141] Inventory Routes Tests","Pytest tests for `inventory.py` routes -",0,"gap-remediation",Backlog,2,""
"[GAP-142] Procurement Routes Tests","Pytest tests for `procurement.py` routes -",0,"gap-remediation",Backlog,2,""
"[GAP-143] Workflow & Approval Routes Tests","Pytest tests for workflow routes -",0,"gap-remediation",Backlog,2,""
"[GAP-144] Financial Routes Tests","Pytest tests for invoice + reconciliation routes -",0,"gap-remediation",Backlog,2,""
"[GAP-145] Business Logic Service Tests","Pytest tests for all 6 business services -",0,"gap-remediation",Backlog,2,""
"[GAP-297] Warehouse E2E Spec","Playwright E2E tests for warehouse workflows -",0,"gap-remediation",Backlog,2,""
"[GAP-298] Workshop E2E Spec","Playwright E2E tests for workshop management -",0,"gap-remediation",Backlog,2,""
"[GAP-299] Billing E2E Spec","Playwright E2E tests for billing workflows -",0,"gap-remediation",Backlog,2,""
"[GAP-300] CRM Health E2E Spec","Playwright E2E for CRM features -",0,"gap-remediation",Backlog,2,""
"[GAP-301] Procurement E2E Spec","Playwright E2E for procurement workflows -",0,"gap-remediation",Backlog,2,""
